economy,series,Country,Series,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
CAN,SL.UEM.ADVN.ZS,Canada,Unemployment with advanced education (% of total labor force with advanced education),7.652,6.838,7.024,6.459,5.747,5.295,4.704,5.322,5.607,5.639,5.315,5.036,4.809,4.463,4.682,6.248,6.106,5.679,5.617,5.357,5.369,5.321,5.512,5.117,4.626,4.441,7.609,5.944,4.12
MEX,SL.UEM.ADVN.ZS,Mexico,Unemployment with advanced education (% of total labor force with advanced education),,4.47,6.03,4.19,4.18,2.39,1.86,3.3,3.959,4.602,5.095,4.047,3.972,4.282,3.941,5.086,5.61,5.156,4.971,5.125,5.372,4.929,4.929,4.313,4.118,4.399,4.658,4.638,4.0
USA,SL.UEM.ADVN.ZS,United States,Unemployment with advanced education (% of total labor force with advanced education),3.004,2.845,2.667,2.295,2.063,2.116,1.934,2.563,3.328,3.456,3.099,2.711,2.427,2.42,3.013,5.337,5.474,5.136,4.741,4.322,3.691,3.032,2.908,2.686,2.45,2.38,5.591,3.576,2.321
CAN,per_si_allsi.adq_pop_tot,Canada,Adequacy of social insurance programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_si_allsi.adq_pop_tot,Mexico,Adequacy of social insurance programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,31.5065909771284,,35.5891792109216,,42.3839150725892,,34.8242704557366,,34.6053537571547,,35.0302771968363,,37.9482692172693,,35.639975516594
USA,per_si_allsi.adq_pop_tot,United States,Adequacy of social insurance programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_allsp.adq_pop_tot,Canada,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_allsp.adq_pop_tot,Mexico,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,28.5970827187275,,28.4562747493663,,28.0301530683582,,26.6240936581609,,24.3557132820743,,24.0226532191703,,27.1543165191593,,25.9622714314812
USA,per_allsp.adq_pop_tot,United States,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_sa_allsa.adq_pop_tot,Canada,Adequacy of social safety net programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_sa_allsa.adq_pop_tot,Mexico,Adequacy of social safety net programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,18.4868320909941,,17.8909594710332,,10.2059632267432,,13.046293695885,,11.4214487043196,,10.0880918442445,,10.7093867150657,,10.713482641939
USA,per_sa_allsa.adq_pop_tot,United States,Adequacy of social safety net programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_lm_alllm.adq_pop_tot,Canada,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_lm_alllm.adq_pop_tot,Mexico,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,14.729018025736,,15.773371613871
USA,per_lm_alllm.adq_pop_tot,United States,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SM.POP.ASYS.EA,Canada,Asylum-seekers by country or territory of asylum,,,,,,,30170.0,45795.0,52755.0,41570.0,27276.0,20533.0,23575.0,37509.0,54187.0,61167.0,50998.0,41835.0,32647.0,22145.0,16699.0,19631.0,23946.0,51859.0,78766.0,97017.0,85352.0,63144.0,113066.0
MEX,SM.POP.ASYS.EA,Mexico,Asylum-seekers by country or territory of asylum,,,,,,,6.0,10.0,15.0,66.0,154.0,142.0,128.0,44.0,15.0,87.0,156.0,611.0,353.0,1347.0,2862.0,1344.0,2636.0,10357.0,23833.0,69451.0,83792.0,157150.0,210609.0
